day,symbol,volume,total_volume_daily
2026-03-18,AALon,22584.36690845598,13899296.607100211
2026-03-18,ABBVon,24519.36,13899296.607100211
2026-03-18,ABNBon,23785.206339806955,13899296.607100211
2026-03-18,ACHRon,24514.42745968022,13899296.607100211
2026-03-18,ADBEon,22379.4216486449,13899296.607100211
2026-03-18,AGGon,23896.93,13899296.607100211
2026-03-18,AMATon,25776.769788342273,13899296.607100211
2026-03-18,AMDon,25616.680348456935,13899296.607100211
2026-03-18,ARMon,24531.14149789851,13899296.607100211
2026-03-18,ASMLon,30169.9442981961,13899296.607100211
2026-03-18,BACon,25571.442422754008,13899296.607100211
2026-03-18,BAon,23219.54,13899296.607100211
2026-03-18,BBAIon,22747.346,13899296.607100211
2026-03-18,BMNRon,55062.437426845856,13899296.607100211
2026-03-18,CATon,24883.634560326904,13899296.607100211
2026-03-18,CEGon,24966.858120852125,13899296.607100211
2026-03-18,CMGon,25535.1,13899296.607100211
2026-03-18,COPXon,26854.52128928791,13899296.607100211
2026-03-18,COPon,24367.54,13899296.607100211
2026-03-18,COSTon,23700.87,13899296.607100211
2026-03-18,CRMon,24288.424620877788,13899296.607100211
2026-03-18,CRWDon,22425,13899296.607100211
2026-03-18,CVNAon,23560.04,13899296.607100211
2026-03-18,Con,23544.33,13899296.607100211
2026-03-18,FIGon,25111.774656548736,13899296.607100211
2026-03-18,FUTUon,24420.07,13899296.607100211
2026-03-18,Fon,22988.235830557875,13899296.607100211
2026-03-18,GEon,27208.622882077347,13899296.607100211
2026-03-18,GLDon,70928.26093742138,13899296.607100211
2026-03-18,GMEon,23049.95,13899296.607100211
2026-03-18,GSon,23865.95,13899296.607100211
2026-03-18,HIMSon,27321.796784670176,13899296.607100211
2026-03-18,IAUon,34036.50868774105,13899296.607100211
2026-03-18,IBMon,23005.79,13899296.607100211
2026-03-18,IEFAon,25670.82,13899296.607100211
2026-03-18,IEMGon,23150.4,13899296.607100211
2026-03-18,IJHon,24878.09,13899296.607100211
2026-03-18,INTCon,49672.67362873204,13899296.607100211
2026-03-18,IRENon,36585.31593525338,13899296.607100211
2026-03-18,ISRGon,23715.92,13899296.607100211
2026-03-18,JDon,23295.319222635673,13899296.607100211
2026-03-18,JNJon,22409.24,13899296.607100211
2026-03-18,JPMon,26185.86262,13899296.607100211
2026-03-18,KOon,25433.61786330368,13899296.607100211
2026-03-18,LINon,23087.05,13899296.607100211
2026-03-18,LMTon,27713.55726468763,13899296.607100211
2026-03-18,LRCXon,25926.67,13899296.607100211
2026-03-18,MARAon,22771.80241806223,13899296.607100211
2026-03-18,MPon,25706.344165222086,13899296.607100211
2026-03-18,MRKon,26445.61,13899296.607100211
2026-03-18,MRVLon,24509.4194,13899296.607100211
2026-03-18,MUon,544627.6563196272,13899296.607100211
2026-03-18,SMCIon,23574.836995725367,13899296.607100211
2026-03-18,SNOWon,23621.94,13899296.607100211
2026-03-18,SOFIon,29983.489384979002,13899296.607100211
2026-03-18,SOUNon,24391.860109332476,13899296.607100211
2026-03-18,SOon,42167.5675,13899296.607100211
2026-03-18,SPOTon,23661.61,13899296.607100211
2026-03-18,TLTon,199109.5531266055,13899296.607100211
2026-03-18,TQQQon,62719.73910256564,13899296.607100211
2026-03-18,TSMon,46181.255861900936,13899296.607100211
2026-03-18,Ton,824823.788,13899296.607100211
2026-03-18,UBERon,25758.530996389327,13899296.607100211
2026-03-18,USFRon,22117.96,13899296.607100211
2026-03-18,VRTon,29315.68103250513,13899296.607100211
2026-03-18,VZon,23269.06,13899296.607100211
2026-03-18,Von,24782.326689296176,13899296.607100211
2026-03-18,WMTon,24939.570600000003,13899296.607100211
2026-03-18,XOMon,26567.324460748307,13899296.607100211
2026-03-18,LIon,23799.703938950926,13899296.607100211
2026-03-18,VTIon,20.00034,13899296.607100211
2026-03-18,ANETon,943.0838103463996,13899296.607100211
2026-03-18,VSTon,2.490000996,13899296.607100211
2026-03-18,TCOMon,53.42929878351186,13899296.607100211
2026-03-18,PANWon,8.438249414,13899296.607100211
2026-03-18,SQQQon,26437.12888638689,13899296.607100211
2026-03-18,DISon,20.00472,13899296.607100211
2026-03-18,BIDUon,518.008568599065,13899296.607100211
2026-03-18,BLKon,30.00063,13899296.607100211
2026-03-18,IVVon,356.90771367,13899296.607100211
2026-03-18,EEMon,20.0008,13899296.607100211
2026-03-18,APOon,63.011298248717,13899296.607100211
2026-03-18,DEon,1.9470160510296843,13899296.607100211
2026-03-18,RIVNon,849.4751841217715,13899296.607100211
2026-03-18,IWFon,10.159093146991996,13899296.607100211
